threshold,accuracy,precision,recall,f1_score,false_positive_rate,false_negative_rate,estimated_business_loss,false_positives,false_negatives,true_positives,true_negatives
0.05,0.09168658439425718,0.08149841311604808,0.9981873111782478,0.1506932619800535,0.9879196292758853,0.0018126888217522659,83917500.0,55855,9,4956,683
0.060000000000000005,0.09765377298668358,0.0819794182852983,0.9979859013091642,0.15151283501765866,0.9814107326046199,0.002014098690835851,83380500.0,55487,10,4955,1051
0.07,0.10451522689950084,0.0825140800479888,0.9973816717019134,0.15241847366072114,0.973893664438077,0.0026183282980866062,82788000.0,55062,13,4952,1476
0.08000000000000002,0.11290506154171341,0.08313159841301862,0.9959718026183283,0.15345466958370185,0.9646432487884254,0.004028197381671702,82108500.0,54539,20,4945,1999
0.09000000000000001,0.12175015852885225,0.08381414607656802,0.9947633434038268,0.15460222559591819,0.9549152782199583,0.0052366565961732125,81373500.0,53989,26,4939,2549
0.1,0.13152203957530528,0.084521053082926,0.9925478348439074,0.15577682946104,0.9440907000601365,0.0074521651560926485,80620500.0,53377,37,4928,3161
0.11000000000000001,0.14277352324276865,0.08544990538358709,0.9913393756294059,0.15733785122910207,0.9317450210477909,0.00866062437059416,79663500.0,52679,43,4922,3859
0.12000000000000002,0.154073785018617,0.08636267754183659,0.9895266868076535,0.15886052414595897,0.9192932187201528,0.010473313192346425,78742500.0,51975,52,4913,4563
0.13,0.16753654293286507,0.08752051959174934,0.9879154078549849,0.1607959481387992,0.9045067034560826,0.012084592145015106,77608500.0,51139,60,4905,5399
0.14,0.18160089751719427,0.08875836188611519,0.9861027190332327,0.1628579982037721,0.8890480738618275,0.013897280966767372,76432500.0,50265,69,4896,6273
0.15000000000000002,0.19626684877160464,0.0899769479022591,0.9826787512588117,0.16485892887312045,0.8727935194028795,0.01732124874118832,75309000.0,49346,86,4879,7192
0.16000000000000003,0.20969708794692943,0.09104709785032891,0.9784491440080564,0.1665923665169233,0.85781244472744,0.021550855991943604,74353500.0,48499,107,4858,8039
0.17000000000000004,0.2256475293888103,0.09242557419650706,0.9742195367573011,0.16883366201853436,0.8400898510736142,0.025780463242698892,73165500.0,47497,128,4837,9041
0.18000000000000002,0.24150041461392127,0.09380054958975659,0.969385699899295,0.17104982585826994,0.8224203190774346,0.030614300100704935,72027000.0,46498,152,4813,10040
0.19000000000000003,0.2581174902037299,0.09538498278572707,0.9653575025176233,0.17361538740174592,0.8039902366549931,0.03464249748237664,70764000.0,45456,172,4793,11082
0.20000000000000004,0.27471830642407685,0.097052246391543,0.9615307150050353,0.17630874342166006,0.7855955286709824,0.038469284994964756,69489000.0,44416,191,4774,12122
0.21000000000000002,0.2910264539941141,0.09873927762892808,0.9575025176233636,0.17901792438620273,0.7675015034136333,0.042497482376636454,68254500.0,43393,211,4754,13145
0.22000000000000003,0.30757849210607613,0.10039725532683279,0.9518630412890232,0.1816364964064722,0.7490006721143302,0.04813695871097684,67105500.0,42347,239,4726,14191
0.23000000000000004,0.32484594247435084,0.1021265481139673,0.9450151057401812,0.1843325214111731,0.7296154798542573,0.05498489425981873,65971500.0,41251,273,4692,15287
0.24000000000000005,0.3418207241923158,0.10400731440804585,0.9393756294058409,0.1872791519434629,0.7106547808553539,0.060624370594159115,64783500.0,40179,301,4664,16359
0.25000000000000006,0.35759231257011853,0.10569569683826047,0.932527693856999,0.18987082222677876,0.6928968127630973,0.06747230614300101,63787500.0,39175,335,4630,17363
0.26000000000000006,0.37526624717493456,0.10785278949835912,0.926686807653575,0.19321784776902887,0.6731578761187166,0.07331319234642497,62548500.0,38059,364,4601,18479
0.27,0.3919483602425898,0.10996728882047335,0.9208459214501511,0.19647192797748222,0.6544978598464749,0.07915407854984895,61401000.0,37004,393,4572,19534
0.28,0.4088418451132465,0.11223103337533041,0.915005035246727,0.19993838570548367,0.6356079097244332,0.08499496475327291,60234000.0,35936,422,4543,20602
0.29000000000000004,0.42555647691982507,0.11451060048241717,0.9083585095669687,0.20338218714768883,0.6168417701368991,0.09164149043303121,59137500.0,34875,455,4510,21663
0.30000000000000004,0.44152317773116756,0.11652005951293362,0.8990936555891239,0.20630372492836677,0.5986593087834731,0.10090634441087613,58285500.0,33847,501,4464,22691
0.31000000000000005,0.45696957871973726,0.1185435616732405,0.889828801611279,0.20921532414642233,0.5810428384449396,0.11017119838872105,57481500.0,32851,547,4418,23687
0.32000000000000006,0.4725785734029234,0.12069584426342676,0.8803625377643505,0.21228751821272462,0.563231808695037,0.11963746223564954,56676000.0,31844,594,4371,24694
0.33000000000000007,0.48844771799749603,0.12322611836305207,0.8727089627391742,0.21595893141945774,0.5452969684106265,0.12729103726082577,55725000.0,30830,632,4333,25708
0.3400000000000001,0.5033250410549079,0.1253368482718219,0.8618328298086606,0.2188466947960619,0.5281580529909088,0.13816717019133937,55081500.0,29861,686,4279,26677
0.3500000000000001,0.5186251077183227,0.12790311376883814,0.8529707955689829,0.22244983716776973,0.5107361420637447,0.1470292044310171,54264000.0,28876,730,4235,27662
0.36000000000000004,0.5335999869925044,0.13059864199838037,0.8445115810674723,0.2262145612473362,0.4937033499593194,0.15548841893252768,53449500.0,27913,772,4193,28625
0.37000000000000005,0.5489163130253809,0.13353497651071497,0.8358509566968781,0.23028049829370476,0.47628143903215536,0.16414904330312186,52617000.0,26928,815,4150,29610
0.38000000000000006,0.563403411215713,0.13629565621988102,0.8259818731117825,0.23398185656415815,0.45965545296968413,0.17401812688821752,51942000.0,25988,864,4101,30550
0.39000000000000007,0.5773539502138108,0.13903669882247932,0.8157099697885196,0.23757845955300053,0.4435777707028901,0.18429003021148035,51343500.0,25079,915,4050,31459
0.4000000000000001,0.5917760109262963,0.14180537772087068,0.8030211480362538,0.24104470844291284,0.4267749124482649,0.19697885196374623,50863500.0,24129,978,3987,32409
0.4100000000000001,0.605628993707624,0.14456810141509435,0.7901309164149043,0.2444160618049282,0.4105734196469631,0.20986908358509568,50449500.0,23213,1042,3923,33325
0.4200000000000001,0.618815342341024,0.14762976240417985,0.779657603222558,0.24825242095812222,0.39530934946407725,0.2203423967774421,49935000.0,22350,1094,3871,34188
0.43000000000000005,0.6319041347576541,0.15068384852557515,0.7677744209466264,0.2519247926510921,0.380027592061976,0.23222557905337363,49524000.0,21486,1153,3812,35052
0.44000000000000006,0.6447002585239744,0.15388399262143881,0.7560926485397784,0.2557220708446866,0.36508189182496725,0.24390735146022155,49126500.0,20641,1211,3754,35897
0.45000000000000007,0.6562281514722859,0.15666383701188455,0.7434038267875126,0.25879053461875545,0.35142735859068236,0.2565961732124874,48913500.0,19869,1274,3691,36669
0.4600000000000001,0.6687641253272198,0.16044430731255785,0.7331319234642497,0.26327209605091856,0.3368884643956277,0.26686807653575023,48445500.0,19047,1325,3640,37491
0.4700000000000001,0.6801456839503764,0.16359394299830735,0.7202416918429003,0.26662690128243366,0.323375428915066,0.2797583081570997,48259500.0,18283,1389,3576,38255
0.4800000000000001,0.6916410581597645,0.16742683390345875,0.7097683786505539,0.2709414523507477,0.30995082953058123,0.29023162134944613,47901000.0,17524,1441,3524,39014
0.4900000000000001,0.701299123619986,0.17048471143447055,0.6984894259818731,0.27407436677599084,0.2984541370405745,0.30151057401812686,47766000.0,16874,1497,3468,39664
0.5000000000000001,0.7125018291790645,0.17487344684767603,0.6888217522658611,0.27893320283826767,0.2854186564788284,0.311178247734139,47380500.0,16137,1545,3420,40401
0.5100000000000001,0.7229078256345219,0.17806685504078476,0.6727089627391742,0.2815951437484192,0.272683858643744,0.32729103726082576,47500500.0,15417,1625,3340,41121
0.5200000000000001,0.7334926751540575,0.1819396503730097,0.6582074521651561,0.2850787281371309,0.25989599915101347,0.3417925478348439,47496000.0,14694,1697,3268,41844
0.5300000000000001,0.7436060029592052,0.18563780260707635,0.6424974823766365,0.2880491218565172,0.24751494570023702,0.35750251762336355,47616000.0,13994,1775,3190,42544
0.5400000000000001,0.7537843682421995,0.18958155422715628,0.6259818731117824,0.29102486071445294,0.2349923944957374,0.3740181268882175,47784000.0,13286,1857,3108,43252
0.55,0.7629709119880331,0.19352164764394567,0.6112789526686808,0.2939752034095312,0.2237079486363154,0.38872104733131924,47922000.0,12648,1930,3035,43890
0.56,0.7724176056452531,0.19832999331997328,0.5979859013091642,0.2978680712315024,0.21226431780395486,0.4020140986908359,47941500.0,12001,1996,2969,44537
0.5700000000000001,0.7819781148887046,0.20371929824561402,0.5846928499496475,0.30215977101223,0.20069687643708656,0.41530715005035246,47950500.0,11347,2062,2903,45191
0.5800000000000001,0.790563061964457,0.20750812887969258,0.565558912386707,0.30361680272476615,0.1896777388658955,0.43444108761329303,48441000.0,10724,2157,2808,45814
0.5900000000000001,0.7984325967838968,0.21198263835064332,0.5508559919436052,0.3061510046454357,0.1798259577629205,0.44914400805639476,48700500.0,10167,2230,2735,46371
0.6000000000000001,0.8060582410614117,0.21637474541751528,0.534944612286002,0.30812064965197217,0.1701333616328841,0.46505538771399796,49063500.0,9619,2309,2656,46919
0.6100000000000001,0.8135375510137717,0.2207334879326634,0.5176233635448136,0.3094894026974952,0.16047613994127843,0.4823766364551863,49534500.0,9073,2395,2570,47465
0.6200000000000001,0.8211144171829017,0.22660990852277874,0.5039274924471299,0.31263276271398227,0.15103116488025753,0.4960725075528701,49753500.0,8539,2463,2502,47999
0.6300000000000001,0.8288538770466481,0.23323419361028494,0.4896273917421954,0.31596048869248766,0.1413562559694365,0.5103726082578046,49998000.0,7992,2534,2431,48546
0.6400000000000001,0.8355364778953872,0.23825980890424883,0.47210473313192347,0.31669256231844894,0.1325480208001698,0.5278952668680765,50556000.0,7494,2621,2344,49044
0.6500000000000001,0.8423979318082044,0.24465327284510693,0.4561933534743202,0.3184982071292976,0.12368672397325692,0.5438066465256798,50989500.0,6993,2700,2265,49545
0.6600000000000001,0.8486252703120173,0.2507743489732706,0.440281973816717,0.3195439263265604,0.11551522869574446,0.559718026183283,51481500.0,6531,2779,2186,50007
0.6700000000000002,0.8549339056631384,0.2576852418860992,0.42376636455186306,0.3204874333587205,0.10720223566450883,0.576233635448137,52006500.0,6061,2861,2104,50477
0.6800000000000002,0.8616815439897241,0.26776816155258326,0.41127895266868075,0.3243586688904773,0.09876543209876543,0.5887210473313192,52221000.0,5584,2923,2042,50954
0.6900000000000002,0.8673072858234557,0.2751196172248804,0.39375629405840884,0.32391682544942424,0.09110686617849942,0.6062437059415912,52876500.0,5151,3010,1955,51387
0.7000000000000002,0.8723151716176447,0.2812784004847016,0.3740181268882175,0.32108584767009596,0.08392585517704906,0.6259818731117824,53737500.0,4745,3108,1857,51793
0.7100000000000002,0.8768677950669073,0.28601903511650806,0.3510574018126888,0.3152183741748802,0.07695709080618345,0.6489425981873111,54856500.0,4351,3222,1743,52187
0.7200000000000001,0.881371640407785,0.29309426593289545,0.332527693856999,0.311568220418947,0.07043050691570271,0.667472306143001,55683000.0,3982,3314,1651,52556
0.7300000000000001,0.8854690015121214,0.2995178399228544,0.31278952668680765,0.30600985221674876,0.06423998019031447,0.6872104733131923,56628000.0,3632,3412,1553,52906
0.7400000000000001,0.8894037689218413,0.30707834488552826,0.2944612286002014,0.3006374665844129,0.05835013619158796,0.7055387713997986,57493500.0,3299,3503,1462,53239
0.7500000000000001,0.8933547957010227,0.31627478100507145,0.27633434038267873,0.2949586155003762,0.05246029219286144,0.7236656596173212,58344000.0,2966,3593,1372,53572
0.7600000000000001,0.896850560135278,0.3248666497332995,0.25760322255790535,0.28735115704336106,0.047012628674519795,0.7423967774420946,59277000.0,2658,3686,1279,53880
0.7700000000000001,0.9003300652000715,0.33493907622555963,0.2380664652567976,0.27831410407346363,0.04151190349853196,0.7619335347432025,60265500.0,2347,3783,1182,54191
0.7800000000000001,0.9031104173780141,0.34439574201628054,0.2215508559919436,0.2696408873636475,0.037037037037037035,0.7784491440080564,61116000.0,2094,3865,1100,54444
0.7900000000000001,0.906199697575728,0.3578500707213578,0.20382678751258812,0.25972026177338636,0.03211999009515724,0.7961732124874119,62019000.0,1816,3953,1012,54722
0.8000000000000002,0.9086548623644375,0.36861167002012074,0.18449144008056395,0.2459060402684564,0.027751246948954686,0.815508559919436,63088500.0,1569,4049,916,54969
